Porciones,6,,,
Gramaje,1701.5,,,
Clasificacion,0,2,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
250,gr,250,soya texturizada,"Hidratar la soya por 20 min, escurrir y exprimir, revolverla con las carnes y reservar"
250,gr,250,carne molida de res,"Licuar la cebolla con 1/4 de taza de agua, el comino, la hierbabuena, el pan y la sal"
250,gr,250,carne molida de cerdo,Verter sobre la mezcla de carnes e integrar
2,gr,2,comino,Hacer las albóndigas de un mismo tamaño e introducir trocitos de queso
1,cdita,10,hierbabuena,
1,rebanada,30,pan de caja,"Para hacer el caldillo, licuar el jjitomate, cebolla y ajo, freír en poco aceite"
40,gr,40,cebolla,"Sazonar con consomé, integrar el chile, revolver e incorporar las albóndigas, tapar el recipiente y cocinar a fuego bajo."
200,gr,200,queso panela,
1.5,cdita,7.5,sal,
600,gr,600,jitomate,
40,gr,40,cebolla,
1,diente,5,ajo,
1,pza,7,chile chipotle,
2,cdita,10,consome en polvo,
1,cda,15,aceite,
