Porciones,4,,,
Gramaje,1309.5,,,
Clasificacion,0,4,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
6,rebanada,72,tocino,Freír el tocino y en la misma grasa agregar la cebolla y el germinado hasta que estén transparentes
150,gr,150,cebolla,Agregar los champiñones hasta cocer y retirar
100,gr,100,germinado de soya,Con una cuchara saca la pulpa de las papas ya cocidas para ahuecarlas y reservar
4,pza,680,papa,"Picar la pulpa y mezclarla con el germinado y el tocino frito, sazonar con sal y pimienta "
100,gr,100,champinon,"Rellenar las cáscaras de papa con la preparación anterior, colocarlas sobre una charola y espolvorearles el queso"
200,gr,200,queso rallado,Hornear 10 min a 180°C o hasta que el queso se gratine.
1,cdita,5,sal,
0.5,cdita,2.5,pimienta,
