Porciones,6,,,
Gramaje,700,,,
Clasificacion,1,0,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
12,pza,240,tortilla de maiz,Cortar en triángulo las tortillas y freírlas en aceite hasta que doren
4,pza,28,chile guajillo,Lavar los chiles y hervirlos durante 5 min hasta suavizar
80,gr,80,cebolla,"Licuar los chiles con un trozo de cebolla, ajo y el agua del remojo para hacer una salsa, colar y hervir"
1,diente,5,ajo,"Verter 1 litro de agua, sazonar con el consomé, bajar el fuego y dejar durante 15 min"
3,cda,45,aceite,Freir el chorizo con la cebolla restante bien picada  y añadir los huevos batidos hasta cocer
2,cda,30,consome de pollo,"Verter el caldillo y cuando hierva incorporar las tortillas, revolver y cocinar hasta remojar sin que se ablanden demasiado"
100,gr,100,chorizo,Sirve los chilaquiles con queso rallado por encima.
100,gr,100,queso fresco*,
12,pza,72,huevo,
