"Porciones",8,,,
"Gramaje",1334.75,,,
"Clasificacion",0,2,1,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"tza",250,"acelga*","Filetear las hojas de las acelgas."
2,"pza",70,"jugo de limon*","Mezclar el jugo de limón, la mitad de la chia, el aceite de oliva, sal y pimienta."
4,"cda",60,"chia*","Cocer los garbanzos y el betabel aparte y cortarlos en cubos."
1,"cdita",15,"aceite de oliva","Mezclar el jugo de limón, la mitad de la chia, el aceite, sal y pimienta para obtener una mezcla homogenea."
0.5,"cdita",2.5,"sal","Combinar las acelgas, los garbanzos, el betabel, el mango y los cacahuates tostados."
0.25,"cdita",1.25,"pimienta","Servir y verter la vinagreta, espolvoreando el resto de la chia."
2,"tza",400,"garbanzo",
2,"tza",334,"betabel",
0.5,"pza",82,"mango*",
120,"gr",120,"cacahuate tostado",
