Porciones,6,,,
Gramaje,2135,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1,kg,1000,sirloin de res,Sofreír la carne cortada en tiras hasta tomar un color café y separarla
3,cda,45,aceite,"En el mismo aceite, acitronar la cebolla picada y agregar el brócoli en pequeños ramos ya lavados"
150,gr,150,cebolla,Añadir la soya y  el agua
500,gr,500,brocoli,Cocinar a fuego medio. Dejar evaporar hasta que la cebolla y el brócoli se hayan cocido y se conserven firmes
0.25,tza,62.5,soya,"Añadir la carne y los granos de elote, revolver bien y cocinar por 5 min más"
0.5,tza,125,agua,
0.5,cdita,2.5,sal,
250,gr,250,grano de elote,
