Porciones,6,,,
Gramaje,906.5,,,
Clasificacion,0,0,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
2,tza,400,garbanzo,"Licuar los garbanzos cocidos y escurridos, la cebolla, el ajo, las especias, el cilantro, el pan de caja, sal y pimienta"
1,pza,150,cebolla morada,Tomar porciones de la mezcla y formar las croquetas del tamaño deseado
3,diente,15,ajo,En un platón distribuir el pan molido; pasar las croquetas por el huevo para capearlas y después cubrirlas con el pan
2,rebanada,60,pan de caja,"Freír en aceite muy caliente, cuando estén cocidas y doradas colocarlas sobre servilletas de papel absorbente."
1,cdita,4,comino,
1,cda,10,cilantro,
1,cdita,5,sal,
0.5,cdita,2.5,pimienta,
1,pza,60,huevo,
1,tza,100,pan molido,
0.5,tza,100,aceite,
