"Porciones",5,,,
"Gramaje",767.5,,,
"Clasificacion",0,3,2,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
1,"pza",150,"cebolla*","Picar en brunoise la cebolla, el jitomate y el chile. Mezclar en un bowl."
3,"pza",270,"jitomate*","Cortar en cuadros pequeños el aguacate evitando que se bata."
2,"pza",15,"chile serrano*","Picar finamente el cilantro y mezclar todo con lo anterior."
1,"pza",200,"aguacate*","Añadir la sal."
5,"cdas",50,"cilantro*","Exprimir los limones hasta obtener el jugo."
0.5,"cdita",2.5,"sal","Rociar el aceite y mezclar todo uniformemente."
2,"pza",50,"jugo de limon*",
2,"cda",30,"aceite de oliva",
