"Porciones",4,,,
"Gramaje",997.25,,,
"Clasificacion",1,0,0,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"cda",30,"aceite vegetal","Acitronar la cebolla cortada en brunoise. Rehogar durante un par de minutos hasta que esté transparente."
1,"pza",150,"cebolla","Añadir los jitomates en brunoise y los chiles picados finamente, remover y dejamar sofreír un poco."
3,"pza",270,"jitomate","Sazonar con sal y pimienta."
2,"pza",15,"chile serrano",
0.25,"cdita",1.25,"sal",
1,"pzca",1,"pimienta","Batir los huevos en un bowl, añadir el pico de gallo y mezclar."
8,"pza",500,"huevo","En un sartén con aceite caliente, añadir la mezcla de huevo y mover hasta que esté cocido."
2,"cda",30,"aceite vegetal",
