"Porciones",4,,,
"Gramaje",822.25,,,
"Clasificacion",1,0,0,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"cda",30,"aceite vegetal","Acitronar la cebolla cortada en brunoise. La rehogamos durante un par de minutos hasta que esté transparente."
1,"pza",100,"cebolla","Añadimos el ajo prensado o picado finamente, removemos y dejamos sofreír un poco hasta que el ajo suelte su aroma"
2,"diente",10,"ajo","Agregar las espinacas picadas toscamente hasta que estén suaves"
0.5,"manojo",150,"espinaca","Sazonamos con sal y pimienta"
0.25,"cdita",1.25,"sal",
1,"pzca",1,"pimienta","Batir los huevos en un bowl, añadir las espinacas y mezclar "
8,"pza",500,"huevo","En un sartén con aceite caliente, añadir la mezcla de huevo y mover hasta que esté cocido "
2,"cda",30,"aceite vegetal",
