"Porciones",4,,,
"Gramaje",807.25,,,
"Clasificacion",1,0,0,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
8,"rebanada",160,"jamon de pavo","Cortar el jamón en piezas pequeñas, y reservar"
1,"cda",15,"aceite vegetal","Acitronar la cebolla picada finamente, removemos y dejamos sofreír un poco hasta quedar transparente"
1,"pza",100,"cebolla","Añadimos el jamón y movemos un poco "
0.25,"cdita",1.25,"sal","Sazonamos con sal y pimienta "
1,"pzca",1,"pimienta",
8,"pza",500,"huevo","Batir los huevos en un bowl y añadir  la cebolla con el jamón"
2,"cda",30,"aceite vegetal","En un sartén con aceite caliente, vaciar la mezcla hasta cocer "
