"Porciones",4,,,
"Gramaje",812.25,,,
"Clasificacion",1,0,0,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"pza",240,"nopal","Asar los nopales en un comal, y cortar en trozos pequeños"
2,"cda",30,"aceite vegetal","Acitronar el ajo prensado o picado finamente, removemos y dejamos sofreír un poco hasta que el ajo suelte su aroma"
2,"diente",10,"ajo","Agregar los nopales,  hasta incorporar bien "
0.25,"cdita",1.25,"sal","Sazonamos con sal y orégano"
2,"pzca",1,"oregano",
8,"pza",500,"huevo","Batir los huevos en un bowl, añadir los nopales y mezclar "
2,"cda",30,"aceite vegetal","En un sartén con aceite caliente, añadir la mezcla de huevo y mover hasta que esté cocido "
