"Porciones",4,,,
"Gramaje",987.25,,,
"Clasificacion",1,0,0,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"pza",340,"papa","Cocer las papas en agua con sal y rebanar en rodajas o partir en cubos pequeños "
1,"cda",15,"aceite vegetal","Acitronar la cebolla picada finamente, removemos y dejamos sofreír un poco hasta quedar transparente"
1,"pza",100,"cebolla","Añadimos las papas para que se doren un poco "
0.25,"cdita",1.25,"sal","Sazonamos con sal y pimienta "
1,"pzca",1,"pimienta",
8,"pza",500,"huevo","Batir los huevos en un bowl."
2,"cda",30,"aceite vegetal","En un sartén con aceite caliente, colocar las papas con la cebolla y añadir la mezcla de huevo. Cocer a fuego bajo con tapa hasta lograr que se cueza parejo el omelette o mover constantemente para hacerlo revuelto. "
