Porciones,6,,,
Gramaje,1069.75,,,
Clasificacion,0,3,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
8,pza,800,nopal,"Cocinar los nopales en agua con sal y un trozo de cebolla, enjuagarlos y dejar reposar"
150,gr,150,cebolla,"Asar los chiles en un comal, remojarlos en agua caliente, una vez suaves, retirarlos y cortarlos en tiras"
6,diente,30,ajo,En poco aceite acitronar la cebolla restante bien picada con el ajo
3,pza,21,chile guajillo,"Añadir los chiles y los nopales, sazonar con sal y pimienta y espolvorear el cilantro."
50,gr,50,cilantro,
0.5,cdita,2.5,sal,
0.25,cdita,1.25,pimienta,
1,cda,15,aceite,
