Porciones,6,,,
Gramaje,1098.75,,,
Clasificacion,0,3,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
6,pza,600,nopal,"Abrir los nopales por la mitad, asarlos en un comal por ambos lados y sazonar con sal y pimienta"
300,gr,300,queso panela*,"Cortar el queso y colocarlo en un tazón con el cilantro picado, las salsas, el jugo de limón y cubrir con plástico para refrigerar unos mins"
5,cda,75,salsa de soya,"Una vez listos los nopales, se rellenan con la mezcla de queso y se sirven."
2,cda,30,salsa inglesa,
50,gr,50,cilantro*,
0.5,cdita,2.5,sal,
0.25,cdita,1.25,pimienta,
0.25,tza,40,jugo de limon,
