Porciones,6,,,
Gramaje,1839.5,,,
Clasificacion,1,0,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
20,pza,400,tortilla de maiz,Partir por la mitad las tortillas y freirlas ligeramente en aceite caliente 
50,gr,50,aceite,"Desmenuzar el chorizo y freírlo hasta que esté dorado y crujiente, escurrir el exceso de grasa "
250,gr,250,chorizo,"Remojar los chiles pasilla en la leche y cuando suavicen, licúar ambas cosas junto con los ajos para hacer una salsa"
6,pza,42,chile pasilla,Freír la salsa hasta que hierva y espese un poco
0.25,tza,62.5,leche,Engrasar un molde de rosca y espolvorear pan molido hasta quedar bien cubiertas las paredes
2,diente,10,ajo,"Sumergir las tortillas en la salsa y acomodarun capa en el fondo del molde, cubrir con frijoles refritos, espolvorear queso"
3,cda,45,pan molido,colocar rajas de chiles jalapeños y al final el chorizo; repetir las capas hasta terminar los ingredientes finalizando con una capa de queso
500,gr,500,frijoles,Hornear a 180°C durante 20 min
200,gr,200,queso anejo,
4,pza,280,chile jalapeño,
