"Porciones",4,,,
"Gramaje",1127.25,,,
"Clasificacion",1,0,1,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"cda",30,"aceite vegetal","Acitronar la cebolla cortada en brunoise. La rehogamos durante un par de minutos hasta que esté transparente."
1,"pza",100,"cebolla","Añadimos los dientes de ajo prensados y el epazote picado, removemos y dejamos sofreír hasta que el ajo empiece a soltar su aroma."
2,"diente",10,"ajo","Añadimos el huitlacoche, damos unas vueltas hasta que veamos que empiezan a absorberse el líquido. "
5,"rama",25,"epazote","Sazonamos con sal y pimienta"
400,"gr",400,"huitlacoche",
0.25,"cdita",1.25,"sal",
1,"pzca",1,"pimienta",
8,"pzas",160,"tortilla de maiz","En otro sartén, sobre una tortilla extienda el queso y coloque una porción de huitlacoche"
400,"gr",400,"quesillo","Doble la tortilla hacia un extremo y lleve al sartén hasta que se derrita el queso "
