Porciones,6,,,
Gramaje,1086.5,,,
Clasificacion,1,0,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
150,gr,150,pasta hojaldre,Extender la pasta hojaldre hasta dejarla de .5 cm de grosor; forrar un molde para tarta y picar el fondo con un tenedor
200,gr,200,germinado de soya,Barnizar las orillas con huevo y reservar
45,gr,45,mantequilla,"En un sartén con mantequilla freir el germinado, el perejil y la menta; sazonar con sal y pimienta"
1,cda,10,perejil,"Batir los huevos con la yema, la crema, la sal y la pimienta"
2,cda,20,menta,"Acomodar el germinado sobre el hojaldre y verter la mezcla de crema, por último espolvorear con el queso hasta cubrir"
3,pza,180,huevo,"Hornear por 35 min a 180°C o hasta que el hojaldre esté cocido, retirar y cortar en porciones individuales."
1,pza,24,yema,
1,tza,200,crema,
250,gr,250,queso manchego,
1,cdita,5,sal ,
0.5,cdita,2.5,pimienta,
