Porciones,6,,,
Gramaje,1497.5,,,
Clasificacion,0,4,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
6,pza,660,chile poblano,"Asar los chiles, pelarlos y desvenarlos, posteriormente cortarlos en rajas"
1,pza,270,cebolla,Acitronar la cebolla y las rajas de chile
2,cda,30,aceite,Precocer los granos de elote en agua caliente con sal
250,gr,250,grano de elote,"Verter la crema, sazonar con sal y pimienta y dejar hervir a fuego lento por 10 min aprox"
1,cdita,5,sal,Derretir la mantequilla e incorporar los granos de elote previamente cocidos y calentar por 5 min 
0.5,cdita,2.5,pimienta,
250,gr,250,crema,
2,cda,30,mantequilla,
