Porciones,8,,,
Gramaje,2428.75,,,
Clasificacion,0,2,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1200,gr,1200,milanesa de pollo,"Sazonar el pollo con sal y pimienta, en cada milanesa acomodar 2 o 3 tiras de nopales y 1 de queso, enrrollarlas y si es necesario atorar con palillos"
400,gr,400,nopal,Freir en un sartén los rollos hasta cocer
200,gr,200,queso panela,"Para la salsa: cocinar en 1/2 litro de agua los jitomates, los chiles, la cebolla, el ajo, licuar todo y sazonar con sal y pimienta"
2,cdita,10,sal,Colar la mezcla y hervir para que espese un poco
0.5,cdita,2.5,pimienta,Repartir los rollos en porciones y bañarlos con la salsa.
2,cda,30,aceite vegetal,
500,gr,500,jitomate,
5,pza,30,chile morita,
40,gr,40,cebolla,
2,diente,10,ajo,
1,cdita,5,sal,
0.25,cdita,1.25,pimienta,
