Porciones,6,,,
Gramaje,3006,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
2,cda,30,aceite ,Calentar en la olla express el aceite y sofreir la carne sazonada con sal
1,kg,1000,aguayon de res,"Licuar los tomates junto con los demás ingredientes, excepto las papas"
6,pza,900,jitomate,"Verter la salsa sobre la carne y sofreir por 3 min, pasado el tiempo tapar la olla y cocinar de 20 a 25 min"
2,pza,2,clavo,Pelas las papas y agregarlas al guisado 15 min antes de retirarlo del fuego para evitar que se desbaraten.
2,pza,2,pimienta negra,
40,gr,40,cebolla,
1,diente,5,ajo,
2,hoja,2,laurel,
1,cdita,5,sal,
6,pza,1020,papa amarilla,
