Porciones,6,,,
Gramaje,1505,,,
Clasificacion,1,0,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
500,gr,500,carne molida de res,"En sartén antiadherente freír la carne con cebolla y ajo hasta cocer, moviendo constantemente para retirar los grumos"
0.5,pza,75,cebolla,Calentar los frijoles negros cocidos y escurridos con el comino y el cilantro
1,diente,5,ajo,"Incorporar la carne, añadir el queso y retirar del fuego antes de que gratine por completo"
2,cda,30,aceite,Calentar las tortillas y formar los tacos con el guiso de los frijoles.
2,tza,400,frijol negro,
1,cdita,5,comino,
0.25,tza,50,cilantro,
200,gr,200,queso manchego,
12,pza,240,tortilla de harina,
