Porciones,6,,,
Gramaje,2132.5,,,
Clasificacion,0,1,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1,cda,15,mantequilla,Derretir mantequilla y freír el ajo y la cebolla hasta quedar transparente
1,diente,5,ajo,Agregar los hongos y las tiritas de pollo revolviendo constantemente
150,gr,150,cebolla,Verter el caldo y cuando la carne esté cocida retira del fuego
250,gr,250,champinon,"Licuar un poco de caldo con la preparación de los champiñones y añade crema, sal y pimienta al gusto"
400,gr,400,pechuga de pollo,"Calentar sin dejar que hierva, servir y espolvorear queso y croutones."
1,lt,1000,caldo,
150,gr,150,crema,
100,gr,100,queso rallado,
50,gr,50,crouton,
2,cdita,10,sal,
0.5,cdita,2.5,pimienta,
