"Porciones",4,,,
"Gramaje",1302,,,
"Clasificacion",0,2,1,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
4,"pza",680,"papa","Precalienta el horno a 160°C"
0.5,"tza",125,"leche descremada","Cocina las papas en agua con sal, retira la cáscara y haz un puré"
4,"cdita",60,"mantequilla","Mezcla con la leche, la mantequilla, las claras de huevo, el queso fresco rallado, la sal y pimienta"
4,"pza",132,"clara de huevo","Forma las croquetas y rellena con la calabaza previamente rallada. "
8,"cda",88,"queso fresco",
0.5,"cda",5,"sal","Cierra y forma de nuevo la croqueta"
0.5,"cdita",2,"pimienta","Rocía el aceite y cocina las croquetas hasta dorar."
1,"pza",200,"calabaza italiana",
1,"cda",10,"aceite vegetal",
