Porciones,6,,,
Gramaje,1914,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1,kg,1000,cuete ,"Con un cuchillo, hacer  incisiones al cuete por todos lados, rellenar cada una de éstas con tocino y jamón"
150,gr,150,tocino,"Moler los ajos y las pimientas, agregar el jugo Maggi, la salsa inglesa y la sal"
200,gr,200,jamon,"Bañar la carne con esa mezcla y dejar reposar por varios minutos, volteando constantemente"
3,diente,15,ajo,"Calentar en la olla express el aceite y sellar la carne, añadir agua y la mezcla de los ajos, tapar y cocinar 45 min o hasta"
4,pza,4,pimienta,que quede la carne blanda
1,cdita,5,salsa inglesa,"Retirar del fuego, enfriar y partir en rebanadas"
1,cdita,5,jugo maggi,Colar el jugo que quedó en la olla y bañar con esto a la hora de servir 
1,cdita,5,sal,
2,cda,30,aceite vegetal,
2,tza,500,agua,
