Porciones,6,,,
Gramaje,777.75,,,
Clasificacion,0,4,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
600,gr,600,alubia,Cocer las alubias en agua con sal
2,pza,60,cebolla cambray,"Freir la cebolla con el ajo, una vez acitronado añadir el perejil, la mostaza y el vinagre"
2,diente,10,ajo,"Revolver esta mezcla con las alubias, sazonar con sal y pimienta y servir."
4,cda,40,perejil,
2,cda,34,mostaza,
1,cda,15,vinagre de vino blanco,
0.5,cdita,2.5,sal,
0.25,cdita,1.25,pimienta,
1,cda,15,aceite vegetal,
