Porciones,6,,,
Gramaje,1980,,,
Clasificacion,0,2,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1,kg,1000,chambarete de res,"En una olla poner a cocer la carne con un poco de agua, cebolla y la sal. Una vez cocida, colar el caldo y reservar"
0.5,pza,75,cebolla,En un cacerola calentar el aceite y sofreir la carne
1,cdita,5,sal,"Acitronar la cebolla en el mismo aceite, los ajos y los tomates verdes"
2,cda,30,aceite,"Agregar los chipotles en rajitas, los trozos de carne y el caldo"
4,diente,20,ajo,Tapar y cocinar a fuego lento durante 20 min o hasta que la carne esté suave y se haya evaporado el caldo.
10,pza,800,tomate verde,
2,pza,50,chile chipotle,
