Porciones,8,,,
Gramaje,2600,,,
Clasificacion,0,0,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1,kg,1000,top sirloin,Calentar el sartén y sellar la carne cortada en fajitas aprox. 3 o 4 min por cada lado y reservar
400,gr,400,lechuga romana*,"Colocar en un platón la ensalada por capas, primero las lechugas, luego el tomate, el cilantro, la cebolla y por ultimo la carne."
400,gr,400,lechuga orejona*,
400,gr,400,espinaca*,
250,gr,250,tomate cherry*,
50,gr,50,cilantro*,
100,gr,100,cebolla de rabo*,
