Porciones,6,,,
Gramaje,2672.5,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
2,pza,200,calabaza,Cortar las calabazas y las zanahorias en tiras
2,pza,160,zanahoria,Sazonar la carne con sal y pimienta
1,cdita,5,sal,"En una cacerola calentar aceite y sofreir la cebolla, las verduras y los trocitos de carne"
0.5,cdita,2.5,pimienta,"Agregar la salsa de soya y 1/2 taza de agua, incorporar la fécula de maíz previamente disuelta en el agua restante caliente "
3,cda,45,aceite vegetal,"Rectificar la sazón, cocinar a fuego lento hasta que espese y las verduras y la carne se suavicen"
1,pza,75,cebolla,
1,kg,1000,pulpa de res,
0.5,tza,125,salsa de soya,
1,tza,250,agua,
1,cda,10,fecula de maiz,
400,gr,400,brocoli,
400,gr,400,coliflor,
