Porciones,6,,,
Gramaje,4606.5,,,
Clasificacion,0,2,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1.5,kg,1500,manita de cerdo,"Cocinar las manitas en la olla express con 2 lt de agua, las especias, el laurel y la sal durante 45 min después que escape el vapor"
2,lt,2000,agua,"Dejar enfriar la olla, retirar las manitas y colar"
1,pzca,2,comino,"En un comal asar los tomates, la cebolla y el ajo, licuarlos con 1 tza del caldo de las manitas y el cilantro hasta homogeneizar"
2,pza,4,pimienta gorda,"Verter la salsa en una cacerola, añadir el resto del caldo, las habas y cocinar a fuego medio hasta que estén cocidas"
4,pza,4,pimienta negra entera,"Sazonar con el consomé de pollo, incorporar las manitas de cerdo, rectificar la sazón, retirar del fuego y servir."
1,rama,2,tomillo,
2,hoja,2,laurel,
0.5,kg,500,tomate verde,
0.25,pza,37.5,cebolla,
1,diente,5,ajo,
4,rama,40,cilantro,
500,gr,500,haba,
1.5,cdita,7.5,consome de pollo,
0.5,cdita,2.5,sal,
