Porciones,4,,,
Gramaje,2073,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
400,gr,400,pechuga de pollo,Calienta la parrilla
2,pza,400,berenjena,Salpimenta las verduras y el pollo;  espolvorea el tomillo 
3,pza,450,jitomate,Rocía un poco de aceite encima de las verduras y del pollo para evitar que se quemen al ponerlas en la parrilla
3,pza,300,calabaza,Cocina las verduras en rebanadas y el pollo en milanesas
2,pza,360,pimiento amarillo,Sirve en un plato una vez dorados los ingredientesm y decora con las hojas de albahaca.
120,gr,120,queso panela,
2,cda,20,tomillo ,
1,cda,15,aceite,
8,hoja,8,albahaca,
