Porciones,6,,,
Gramaje,1781.25,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
1,cda,15,mantequilla,"En la mantequilla acitronar la cebolla, el jamón cortado en cuadritos y el perejil"
1,pza,150,cebolla,"Extender las milanesas, salpimentar al gusto y rellenar con la mezcla anterior formando rollitos"
200,gr,200,jamon,"Pasar los rollitos por el huevo batido, empanizar y freírlos en aceite a fuego lento para evitar que se quemen"
0.5,tza,50,perejil,Quitar el excedente de aceite con papel y partirlos por la mitad
1,kg,1000,milanesa,
1,cdita,5,sal,
0.25,cdita,1.25,pimienta,
1,pza,60,huevo,
2,tza,200,pan molido,
0.5,tza,100,aceite vegetal,
