Porciones,4,,,
Gramaje,1174.25,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
6,cda,96,soya,"Para la marinada mezclar la soya, el vinagre, el aceite de ajonjolí y el azúcar, revolver bien y dejar reposar 10 o 15 min"
6,cda,96,vinagre de arroz,"Marinar la carne en la mezcla anterior por 15 min, escurrri muy bien y extenderla sobre una superficie plana, colocando "
0.5,cdita,7.5,aceite de ajonjoli,"un espárrago y una cebollita cambray en cada milanesa, enrollar y asegurar con palillo"
4,cdita,16,azucar,Sellar la carne en poco aceite de oliva si se desea 
0.5,kg,500,milanesa de res,Acomodar los rollos en una charola para hornear y bañar con la mezcla y hornear a 225°C de 5 a 10 min
0.5,cdita,2.5,sal,Colar el jugo que soltó la carne y calentar a fuego lento en un sartén hasta que se reduzca a la mitad
0.25,cdita,1.25,pimienta,"Al servir los rollos, bañar con este jugo los rollitos."
8,pza,200,esparrago,
8,pza,240,cebolla cambray,
1,cda,15,aceite de olivo,
