Porciones,6,,,
Gramaje,1982.5,,,
Clasificacion,0,1,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
2,cda,30,mantequilla,Derretir la mantequilla y sofreir la cebolla y el ajo hasta que esté transparente
150,gr,150,cebolla,Integrar los champiñones y sofreírlos durante 5 min
1,diente,5,ajo,Espolvorear el harina y cocinar sin dejar de mover hasta que comience a dorar
250,gr,250,champinon,"Verter el caldo poco a poco y el epazote, cocinar hasta que hierva durante 15 min, sazonar con sal y pimienta."
2,cda,20,epazote,
1,cda,15,harina,
1500,gr,1500,caldo,
2,cdita,10,sal,
0.5,cdita,2.5,pimienta,
