Porciones,6,,,
Gramaje,2406.5,,,
Clasificacion,0,1,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
75,gr,75,cebolla,"Sofreir en aceite la cebolla, el ajo y los granos de elote. Agrega el huitlacoche y el epazote, revolver"
2,diente,10,ajo,"Una vez integrados, verter el caldo, sazona con sal y pimienta y cocina hasta que los granos de elote estén cocidos"
1,tza,150,grano de elote,"Repartir la sopa entre las porciones, espolvorear con queso rallado y añadir chiles picados al gusto."
1,cda,15,aceite,
500,gr,500,huitlacoche,
3,cda,30,epazote,
1.5,lt,1500,caldo,
2,cdita,10,sal,
0.5,cdita,2.5,pimienta,
2,pza,14,chile serrano,
100,gr,100,queso fresco,
