Porciones,6,,,
Gramaje,3310.25,,,
Clasificacion,0,1,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
800,gr,800,nopal,Cortar los nopales en cubitos y cocerlos con sal 
600,gr,600,jitomate,"Asar en comal los jitomates, la cebolla y el ajo, licuarlos y colar la salsa en una cacerola con aceite caliente"
75,gr,75,cebolla,"Cuando cambie de color la salsa, agregar el caldo y sazonar con sal y pimienta"
1,diente,5,ajo,"Aladir el elote, el chile y el cilantro picados,  y cocinar hasta que suelte el hervor"
0.5,tza,75,grano de elote,Incorporar los nopales y cocinar 10 min más o hasta que vuelva a hervir
2,pza,14,chile serrano,Servir en plato hondo y acompañar con el queso en cubitos.
2,cda,20,cilantro,
200,gr,200,queso fresco*,
1.5,lt,1500,caldo de pollo,
1,cdita,5,sal ,
0.25,cdita,1.25,pimienta,
1,cda,15,aceite vegetal,
