Porciones,6,,,
Gramaje,1940,,,
Clasificacion,0,1,0,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
3,rebanada,90,tocino,"Picar finamente el tocino, la cebolla y el perejil"
0.5,pza,75,cebolla,"En una cacerola calentar un poco de aceite y la mantequilla, sofreir los ingredientes anteriores a fuego bajo"
2,cda,20,perejil,"Agregar las zanahorias en cubitos, junto con un litro de agua y sal"
1,cda,15,aceite vegetal,Tapar la olla y cocinar hasta que las zanahorias se suavicen
1,cda,15,mantequilla,Añadir los chicharos y la pasta hasta que quede al dente
4,pza,320,zanahoria,Sazonar y servir.
1.5,tza,200,chicharo,
1,lt,1000,agua,
200,gr,200,pasta tipo pluma,
1,cdita,5,sal,
