"Porciones",8,,,
"Gramaje",1979,,,
"Clasificacion",0,2,1,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
1,"kg ",1000,"falda de res","Poner a cocer la carne con 1 diente de ajo, un pedazo de cebolla y sal durante 40 min. Separarla una vez cocida del caldo"
2,"diente",10,"ajo","Dejar enfriar la carne y deshebrar"
500,"gr",500,"cebolla","Aparte, acitronar la cebolla rebanada y el otro ajo finamente picado"
3,"cda",45,"aceite vegetal","Licuar los jitomates y los chiles chipotles de lata; añadir la salsa a las cebollas"
2,"cda",10,"sal","Por último, incorporar la carne y cocinar a fuego lento hasta que se reseque un poco"
400,"gr",400,"jitomate","Servir en tostadas, adornar con lechuga, crema y queso rallado."
2,"pza",14,"chile chipotle",
