Porciones,6,,,
Gramaje,1990,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
500,gr,500,pulpa de res,Sazonar las tiras de carne con las especias y pasarlas por harina
2,cda,20,especias,"Dorar el tocino y en el mismo aceite, acitronar la cebolla en juliana junto con los pimientos"
2,cda,30,harina,"Incorporar la carne, el tocino, sal y pimienta y cocinar por 5 min más revolviendo constantemente"
4,rebanada,120,tocino,Agregar el caldo y hervir a fuego medio por 3 min o hasta que espese
200,gr,200,cebolla,Cocer la pasta en agua con sal de 10  a 12 min
2,pza,360,pimiento morrón,"Escurrir y combinar con el queso y mantequilla, sazonar con sal y pimienta"
2,cdita,10,sal,"Para servir, colocar primero la pasta y encima poner las tiras de carne."
1,cdita,5,pimienta,
1,tza,250,caldo de res,
225,gr,225,pasta de tornillo,
250,gr,250,queso parmesano,
2,cda,20,mantequilla,
