Porciones,6,,,
Gramaje,1997,,,
Clasificacion,0,2,1,
Cantidad,Unidad,Gramos,Ingrediente,Instrucciones
0.5,kg,500,falda de res,Cocer la carne y deshebrarla en tiras delgadas
200,gr,200,apio*,Disolver perfectamente la mostaza en el aceite y añadir después el jugo de limón
200,gr,200,lechuga*,Poner todos los ingredientes en un bowl y mezclarlos con la carne
1,pza,150,cebolla*,"Agregar la vinagreta, la sal y los chiles en vinagre cortados en tiras, servir en tostadas, adornando con tiras de aguacate y queso fresco"
2,pza,300,jitomate*,
1,cdita,5,sal,
0.5,tza,100,aceite de olivo,
1,cda,17,mostaza*,
1,cda,15,jugo de limon*,
40,gr,40,chile jalapeño en vinagre*,
200,gr,200,queso fresco*,
18,pza,270,tostada*,
